"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-09","6.04",,"0.00",,"0.0","0.0","63","77","57",,"  120","  110",,"14.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-10","10.51",,"0.10",,"0.0","0.0","70","84","62",,"  260","  260",,"31.1","38.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-11","8.95",,"0.00",,"0.0","0.0","70","78","60",,"  270","  260",,"17.0","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-12","6.93",,"0.00",,"0.0","0.0","72","86","58",,"  240","  240",,"18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-13","8.72",,"0.00",,"0.0","0.0","71","76","54",,"   80","   80",,"21.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-14","7.83",,"0.00",,"0.0","0.0","60","71","54",,"   90","   40",,"14.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-15","10.74",,"0.00",,"0.0","0.0","69","83","60",,"  180","  180",,"23.0","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-16","12.08",,"1.57",,"0.0","0.0","70","71","59",,"  190","  180",,"25.9","38.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-17","8.28",,"0.00",,"0.0","0.0","61","69","53",,"  260","  270",,"17.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-18","8.50",,"0.00",,"0.0","0.0","60","68","50",,"  340","  320",,"21.0","27.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-19","8.50",,"0.00",,"0.0","0.0","61","74","49",,"  310","  310",,"25.1","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-20","8.28",,"0.00",,"0.0","0.0","67","77","54",,"  260","  260",,"17.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-21","3.36",,"0.04",,"0.0","0.0","66","68","62",,"  250","  250",,"15.0","18.1",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-22","4.92",,"0.08",,"0.0","0.0","67","79","62",,"   80","   30",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-23","10.29",,"0.00",,"0.0","0.0","67","76","59",,"  350","  350",,"28.0","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-24","8.72",,"0.00",,"0.0","0.0","65","76","57",,"   70","  350",,"17.0","23.9",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-25","6.26",,"0.00",,"0.0","0.0","68","82","55",,"  260","  310",,"15.0","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-26","10.07",,"0.00",,"0.0","0.0","74","87","62",,"  240","  220",,"17.0","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-27","6.93",,"0.35",,"0.0","0.0","76","88","66",,"  310","  320",,"31.1","40.9",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-28","9.62",,"0.61",,"0.0","0.0","67","74","55",,"   80","   80",,"18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-29","6.04",,"0.00",,"0.0","0.0","56","60","54",,"   90","   70",,"18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-30","7.83",,"0.00",,"0.0","0.0","62","75","55",,"   40","   30",,"18.1","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-05-31","9.17",,"0.00",,"0.0","0.0","69","77","57",,"   40","   10",,"21.9","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-01","5.37",,"0.00",,"0.0","0.0","65","78","54",,"  180","  200",,"15.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-02","10.07",,"0.00",,"0.0","0.0","68","81","56",,"  230","  240",,"19.9","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-03","7.61",,"0.01",,"0.0","0.0","74","89","64",,"  280","  260",,"25.1","32.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-04","6.71",,"0.00",,"0.0","0.0","77","87","66",,"  280","  250",,"16.1","21.0",,,,,,,,
